sensor1,sensor2,sensor3,sensor4,label
84.55419671493763,70.21090625573306,75.79207518037363,81.53834420922975,1
81.44633917554407,87.13277059305886,76.50372211506584,87.97671919701438,1
73.31427942524823,77.13626515267255,71.78604136719684,73.56181213067103,1
50.270243883742204,50.227419711539994,56.46137166918431,52.081336363370404,0
59.28804594628794,58.7045105148261,46.62074627855719,52.4436837219673,0
56.99007042684447,49.46053733112405,52.32322264953912,57.14785458446414,0
50.80431366247301,50.413964257867576,51.61417262035849,53.71002962652692,0
83.62105230194759,76.76922659096455,74.73385986632468,89.36828724346523,1
57.49394089067404,42.57487763611997,55.97857433378159,59.610924579095965,0
42.43369953424294,42.04638936885901,59.185251178893,47.0468993339778,0
56.017953663155104,55.00909520389343,54.22624596780125,41.620665386674695,0
45.743229908128654,49.25391231874064,49.47531607561124,41.81705099066502,0
89.74762244833938,76.71758934230381,74.64291203478031,85.10034208362347,1
54.59401304980822,47.65275767700552,50.3238324499844,42.5674514647943,0
74.97289120662897,76.62314619034711,85.67433884607138,74.01333985415229,1
53.59083392180965,44.242006975638446,59.64169597465008,45.53616572749949,0
84.7155434926428,87.76827971846281,82.54032593417048,74.27247641517627,1
71.5868367364165,74.10499169717762,75.86577557552133,72.3411321081084,1
59.2651720112663,47.109256235073715,43.25386175551984,50.0515860715324,0
41.80990185746641,59.21984321372025,41.56238662613595,46.82306951107256,0
79.58559774198108,70.92121229541225,88.6234320620883,72.60850325687808,1
86.58682331071228,72.28223418942264,70.12184559305187,79.07552557650986,1
40.82011945428767,41.02118534624932,47.39196457924235,53.79826779046441,0
52.99632765466901,41.074080549911244,47.75952945448105,58.42515718575508,0
79.98224312409172,71.12663490267913,78.39046020947788,73.54198719325873,1
57.33699690192685,57.99627176145825,41.8520954587445,55.96181982195509,0
44.51235546212341,45.97470999340967,53.59948433180051,42.574170991473814,0
72.76792682107772,85.9226503864871,73.02156059037581,80.30137472151459,1
58.754232701052956,41.11608679867809,48.754727082676084,49.587062464318066,0
70.93420920382216,72.65110504662238,88.84035578095614,70.39727012666148,1
46.809216321090034,58.23699893897026,42.56385365275468,55.19144294939742,0
44.28620613811401,55.18497246651128,49.156251651497755,47.84014628731478,0
86.19330336390584,74.54060147290559,88.52572263176886,72.08659163275654,1
44.56034092774543,59.64991500678053,52.16833107707878,43.778403739018316,0
84.48633630467438,89.04379958691159,75.39944740451384,81.47670925203981,1
45.6047336518967,49.41619694369116,58.88844219478915,57.74578056682421,0
83.83900570829837,78.54674009841611,85.30653579099834,76.45022345851112,1
89.6090229716828,88.53412795094225,70.66322961373804,78.46429668426765,1
49.199232992184115,58.15506056306994,53.12455621114239,57.42903346743012,0
49.64229485859804,43.1563230203828,46.699975118882286,42.42257824748882,0
43.2925028319358,47.5081781618759,40.23367139691738,49.39977056512879,0
50.59589882833012,41.3843687400721,47.18839739880248,47.53198801416464,0
41.27427754328148,51.26046551351127,55.620016866341174,56.61247592834938,0
77.30604697561623,86.54555141903634,83.11221378671443,73.02387993259897,1
50.556524489028035,48.9754216728973,55.62858892751579,49.91025393709883,0
40.73779861087228,59.17747799435667,48.35630232637493,53.32837548915219,0
82.04593757452497,84.23768264379235,71.22916226918818,80.18892643127032,1
53.25651782123643,43.10823897159006,40.438600706007264,54.42152100968927,0
72.32169191407505,82.36247405084822,74.92614478980207,70.89982840917692,1
55.18986232756679,48.97691638702732,50.62824507999952,53.60039357226542,0
59.85260172878198,55.76656136893465,50.83692071767656,45.035247565203306,0
58.03112247686897,45.674401479244324,51.45261813745028,50.5590645304016,0
57.88666575596335,49.15758563415143,42.50544190891974,59.73387434326763,0
59.2048864397812,55.915091308834704,59.11747773233142,55.41911706365815,0
47.64191026310867,57.32562650126519,44.20542439290617,52.75472299784299,0
83.09331523543156,83.03982781842764,74.96437083667281,70.39128100816167,1
53.03661629320334,49.951960081457344,50.11817469850574,59.30482702923102,0
77.64607003778953,87.4338923948361,85.9559660869132,89.98491525774405,1
46.68718646730679,53.291995341547874,41.466814463389994,44.355895477262514,0
87.6853357248645,85.58805092866018,71.00156896878069,80.91049191613978,1
89.1745689930396,81.02360346889645,73.4146596587426,72.67584599346606,1
82.74628253800078,89.8757338895318,78.44104362069888,80.13408744887941,1
89.70499921562113,72.67711792257666,71.11832461016431,79.51235761648252,1
51.23608508246275,44.009383008450484,47.91460890841834,59.64090412533767,0
77.28464088838979,73.02284584671018,87.1224564985966,84.89541081990222,1
82.74997051687203,71.8048632180901,76.36217884459869,79.74324297258033,1
41.5725324262857,46.36752442878048,58.75183583172157,56.33586200505965,0
70.87122519918822,87.7276785502266,71.78095121132925,71.28558447055451,1
70.3481714768302,76.62517560316624,73.06414179865845,86.82639488747964,1
77.02524585901412,72.33181407934791,72.75823326283063,82.40803056280693,1
76.36988639293044,87.31441536863112,74.91836602519146,72.14007330763197,1
45.791766281091355,48.352521716693346,49.963498169324936,43.019168279985195,0
87.29416120700495,85.52510695395736,89.55759502339976,71.46577647000363,1
41.62784098966507,42.56056163640393,54.757954195735195,56.54695176299861,0
83.74773210078072,88.37099514991593,73.98692268038239,74.9235213441146,1
87.20802907489508,74.5552054688438,72.66546414343424,80.75574320594266,1
83.03389708985335,82.24151333461354,74.64014136342658,78.93283755951758,1
40.67528626242731,52.10453566946036,51.30248303043142,45.04654099525884,0
79.89564993807772,72.13493715408008,88.61167612915533,77.3442447020837,1
82.33361093500604,86.4771954184663,85.78546259939905,73.2851288567493,1
78.56524277329503,86.70563696686372,71.29666592356338,81.05957802809323,1
86.18361746140364,82.64680486343981,82.00332156315348,81.9421930092958,1
48.73594439488177,41.36385297239207,58.62706307435419,40.097511112015766,0
52.81691589685914,49.232810034194735,59.28975731448301,49.28767118775252,0
55.2788770551793,58.64564639979017,53.85763425598742,50.30325616898676,0
70.82310089957201,84.71578139803644,86.12736109934102,85.22870720303509,1
50.37231473636825,45.13611703265665,49.61338830278717,57.01865123374591,0
50.187268417529644,45.053206071587375,53.67743070886327,53.28735838960143,0
46.13397584002911,50.53072086957374,57.10803555634584,47.73289368445931,0
87.06214928466478,88.17707588213366,75.91145388320254,72.14556863197053,1
84.85505508106881,76.55283323099609,72.75940715587052,72.10821172410648,1
89.16746098666532,73.31023960547697,72.05288594881726,89.1625144940464,1
80.17372534436015,81.36330755109279,84.0886159582025,72.20837541449487,1
76.98816258016029,88.81394453312689,76.54604458189753,73.74915641037104,1
42.15566872885628,53.983704527655505,57.53394164777771,47.6481110177403,0
87.15857646095881,79.3934233444221,79.10158626876878,85.63773665594574,1
75.48984101343953,79.04811235995346,84.22971823182525,89.99507818589646,1
51.858966120659936,57.523397801720336,40.84139187381431,53.374102767032554,0
84.6054644909124,81.65268071702204,79.35083141853225,85.66741442409523,1
82.82011927690068,76.4010886643069,77.2503764000544,72.11293381232667,1
